Subject,Start Date,Start Time,End Date,End Time,All Day,Description,Location
Fytolicentie P2,12/01/2021,18:30:00,12/01/2021,22:00:00,false,Wetgeving GBM en strategieen en technieken voor IPM,Autoweg-Zuid 3 9051 Gent
Tuinaanlegger - groenbeheerder,02/02/2022,18:30:00,02/02/2022,22:00:00,false,Activiteiten tuinaanlegger - groenbeheerder - Leiding geven ,Autoweg-Zuid 3 9051 Gent
Fytolicentie P2,05/04/2022,18:30:00,05/04/2022,22:00:00,false,Examen thema's fytolicentie P2,Autoweg-Zuid 3 9051 Gent
Tuinaanlegger - groenbeheerder,10/06/2021,18:30:00,10/06/2021,22:00:00,false,Activiteiten tuinaanlegger - groenbeheerder - toegepaste bedrijfsvoering en administratie,Autoweg-Zuid 3 9051 Gent
Tuinaanlegger - groenbeheerder,02/09/2022,18:30:00,02/09/2022,22:00:00,false,Activiteiten tuinaanlegger - groenbeheerder - Leiding geven ,Autoweg-Zuid 3 9051 Gent
Fytolicentie P2,03/09/2022,18:30:00,03/09/2022,22:00:00,false,Risico's van gewasbeschermingsmiddelen,Autoweg-Zuid 3 9051 Gent
Fytolicentie P2,11/10/2021,18:30:00,11/10/2021,22:00:00,false,Wetgeving GBM en strategieen en technieken voor IPM,Autoweg-Zuid 3 9051 Gent
Tuinaanlegger - groenbeheerder,05/11/2022,18:30:00,05/11/2022,22:00:00,false,Activiteiten tuinaanlegger - groenbeheerder - communicatie en klantenrelaties,Autoweg-Zuid 3 9051 Gent
Fytolicentie P2,01/12/2022,18:30:00,01/12/2022,22:00:00,false,Gewasbeschermingsmiddelen en toepassing,Autoweg-Zuid 3 9051 Gent
Tuinaanlegger - groenbeheerder,10/13/2021,18:30:00,10/13/2021,22:00:00,false,Activiteiten tuinaanlegger - groenbeheerder - toegepaste bedrijfsvoering en administratie,Autoweg-Zuid 3 9051 Gent
Tuinaanlegger - groenbeheerder,06/15/2022,18:30:00,06/15/2022,22:00:00,false,Examen,Autoweg-Zuid 3 9051 Gent
Tuinaanlegger - groenbeheerder,12/15/2021,18:30:00,12/15/2021,22:00:00,false,Eindwerkbegeleiding,Autoweg-Zuid 3 9051 Gent
Fytolicentie P2,02/16/2022,18:30:00,02/16/2022,22:00:00,false,Risico's van gewasbeschermingsmiddelen,Autoweg-Zuid 3 9051 Gent
Fytolicentie P2,11/17/2021,18:30:00,11/17/2021,22:00:00,false,Wetgeving GBM en strategieen en technieken voor IPM,Autoweg-Zuid 3 9051 Gent
Tuinaanlegger - groenbeheerder,05/18/2022,18:30:00,05/18/2022,22:00:00,false,Activiteiten tuinaanlegger - groenbeheerder - communicatie en klantenrelaties,Autoweg-Zuid 3 9051 Gent
Fytolicentie P2,01/19/2022,18:30:00,01/19/2022,22:00:00,false,Gewasbeschermingsmiddelen en toepassing,Autoweg-Zuid 3 9051 Gent
Fytolicentie P2,04/20/2022,18:30:00,04/20/2022,22:00:00,false,Toegepaste fytosanitaire bestrijding,Autoweg-Zuid 3 9051 Gent
Tuinaanlegger - groenbeheerder,10/20/2021,18:30:00,10/20/2021,22:00:00,false,Activiteiten tuinaanlegger - groenbeheerder - toegepaste bedrijfsvoering en administratie,Autoweg-Zuid 3 9051 Gent
Tuinaanlegger - groenbeheerder,06/22/2022,18:30:00,06/22/2022,22:00:00,false,Monografieverdediging,Autoweg-Zuid 3 9051 Gent
Fytolicentie P2,12/22/2021,18:30:00,12/22/2021,22:00:00,false,Gewasbeschermingsmiddelen en toepassing,Autoweg-Zuid 3 9051 Gent
Fytolicentie P2,02/23/2022,18:30:00,02/23/2022,22:00:00,false,Risico's van gewasbeschermingsmiddelen,Autoweg-Zuid 3 9051 Gent
Fytolicentie P2,03/23/2022,18:30:00,03/23/2022,22:00:00,false,Toegepaste fytosanitaire bestrijding,Autoweg-Zuid 3 9051 Gent
Fytolicentie P2,11/24/2021,18:30:00,11/24/2021,22:00:00,false,Wetgeving GBM en strategieen en technieken voor IPM,Autoweg-Zuid 3 9051 Gent
Tuinaanlegger - groenbeheerder,05/25/2022,18:30:00,05/25/2022,22:00:00,false,Activiteiten tuinaanlegger - groenbeheerder - communicatie en klantenrelaties,Autoweg-Zuid 3 9051 Gent
Tuinaanlegger - groenbeheerder,06/25/2022,8:45:00,06/25/2022,12:15:00,false,Praktijkproef,Autoweg-Zuid 3 9051 Gent
Tuinaanlegger - groenbeheerder,06/25/2022,12:45:00,06/25/2022,16:15:00,false,Praktijkproef,Autoweg-Zuid 3 9051 Gent
Fytolicentie P2,01/26/2022,18:30:00,01/26/2022,22:00:00,false,Gewasbeschermingsmiddelen en toepassing,Autoweg-Zuid 3 9051 Gent
Tuinaanlegger - groenbeheerder,04/27/2022,18:30:00,04/27/2022,22:00:00,false,Activiteiten tuinaanlegger - groenbeheerder - communicatie en klantenrelaties,Autoweg-Zuid 3 9051 Gent
Fytolicentie P2,10/27/2021,18:30:00,10/27/2021,22:00:00,false,Wetgeving GBM en strategieen en technieken voor IPM,Autoweg-Zuid 3 9051 Gent
Tuinaanlegger - groenbeheerder,09/29/2021,18:30:00,09/29/2021,22:00:00,false,Activiteiten tuinaanlegger - groenbeheerder - Werkorganisatie,Autoweg-Zuid 3 9051 Gent
Fytolicentie P2,03/30/2022,18:30:00,03/30/2022,22:00:00,false,Toegepaste fytosanitaire bestrijding,Autoweg-Zuid 3 9051 Gent
